Date,Place of Interest Name,Place of Interest Facility Type,Places of Interest Id
2025-05-11T03:06:34.000Z,Greenfish,dining,15
2025-05-11T04:21:59.000Z,Casper Dining,dining,13
2025-05-11T06:52:23.000Z,Greenfish,dining,15
2025-05-11T21:39:11.000Z,Casper Dining,dining,13
2025-05-12T05:52:03.000Z,Flomo Dining,dining,18
2025-05-12T19:57:04.000Z,Casper Dining,dining,13
2025-05-13T05:47:34.000Z,Stern Dining,dining,1
2025-05-13T12:26:39.000Z,Casper Dining,dining,13
2025-05-13T23:48:15.000Z,Greenfish,dining,15
2025-05-14T04:02:07.000Z,Greenfish,dining,15
2025-05-14T05:52:11.000Z,Greenfish,dining,15
2025-05-14T23:33:16.000Z,Greenfish,dining,15
2025-05-14T23:41:53.000Z,Greenfish,dining,15
2025-05-15T02:27:33.000Z,Greenfish,dining,15
2025-05-15T21:20:45.000Z,Casper Dining,dining,13
2025-05-16T00:13:00.000Z,Lutticken's Deli,dining,16
2025-05-16T06:19:36.000Z,Greenfish,dining,15
2025-05-16T19:46:45.000Z,Casper Dining,dining,13
2025-05-16T23:14:53.000Z,Stern Dining,dining,1
2025-05-17T03:09:52.000Z,Greenfish,dining,15
2025-05-17T04:24:02.000Z,Stern Dining,dining,1
2025-05-17T21:38:30.000Z,Casper Dining,dining,13
2025-05-19T04:43:15.000Z,Flomo Dining,dining,18
2025-05-19T08:42:31.000Z,Casper Dining,dining,13
2025-05-21T04:58:59.000Z,Stern Dining,dining,1
2025-05-21T23:29:45.000Z,Stern Dining,dining,1
2025-05-23T01:30:36.000Z,Flomo Dining,dining,18
2025-05-23T08:14:02.000Z,Casper Dining,dining,13
2025-05-23T20:41:57.000Z,Casper Dining,dining,13
2025-05-24T04:30:32.000Z,Lutticken's Deli,dining,16
2025-05-24T22:09:01.000Z,Casper Dining,dining,13
2025-05-24T23:59:59.000Z,Greenfish,dining,15
2025-05-27T04:30:39.000Z,Casper Dining,dining,13
2025-05-31T03:36:48.000Z,Casper Dining,dining,13